nama_produk;brand;sub_kategori;jenis_kulit;finish_type;benefit;gambar
Glad2Glow Perfect Cover Cushion;GLAD2GLOW;Cushion;Oily, Combination;Matte;High Coverage, Long Lasting, Waterproof, Lightweight, Hydrating;c_g2g.jpeg
Glad2Glow Perfect Cover Glow Cushion;GLAD2GLOW;Cushion;All Skin Types;Glow;12H Long Lasting, High Coverage, Lightweight, Hydrating, Zero Oxidation;c_g2g_glow.jpeg
Sea Makeup Fix and Flawless Silk Cushion;SEA MAKEUP;Cushion;Acne-Prone, Oily;Matte;Oil Control, Full Coverage, Pore-Blurring, Salicylic Acid, Niacinamide, SPF 32 PA+++;c_seamakeup.jpeg
OMG Coverlast Cushion;OMG;Cushion;All Skin Types;Dewy;High Coverage, 12H Long Lasting, No-Oxidize, Poreless, SPF 30 PA+++, Non-Acnegenic, Non-Comedogenic;c_omg.jpeg
Skintific Cover All Perfect Cushion;SKINTIFIC;Cushion;All Skin Types;Dewy;High Coverage, Non-Comedogenic;c_skfc_all.jpeg
Skintific Perfect Stay Velvet Matte Cushion;SKINTIFIC;Cushion;All Skin Types;Matte;Full Coverage, Oil Control, Velvet Smooth;c_skfc_velvet.jpeg
Skintific Cover Glow Perfect Cushion;SKINTIFIC;Cushion;All Skin Types;Glow;Full Coverage, Lightweight, 10H Long Lasting, Soft-Focus Poreless, Hydrating;c_skfc_glow.jpeg
Wardah Colorfit Perfect Glow Cushion;WARDAH;Cushion;Normal, Dry;Glow;Medium to High Coverage, 12H Long Lasting, Lightweight, Hydrating, SPF 40 PA++++, Non-Comedogenic, Non-Acnegenic;c_w_matte.jpeg
Wardah Colorfit 5D Blur Cloud Cushion;WARDAH;Cushion;Normal, Oily, Acne-Prone;Matte;5D Pore-Blurring, High Coverage, Lightweight, 18H Long Lasting, 18 Hours Oil Control, SPF 50 PA++++, Non-Comedogenic, Non-Acnegenic;c_w_dewy.jpeg
Esqa Flawless Cushion Serum ;ESQA;Cushion;All Skin Types;Glow;Full Coverage, Lightweight, SPF 50+ PA++++, Non-Comedogenic, Dermatologically Tested;c_esqa.jpeg
Make Over Hydrastay Prismatic Glass Cushion;MAKE OVER;Cushion;All Skin Types;Glow;24H Strongwear, SPF 45 PA+++, Non-Comedogenic, Non-Acnegenic, Zero-Crack, Zero-Smudge, Zero-Cakey, Zero-Crease;c_makeover_ab.jpeg
Make Over Powerstay Sync Matte Cushion;MAKE OVER;Cushion;Oily, Normal;Matte;24H Longwear, 24H Non-Oxidation, Oil Control, Medium-to-High Coverage, Lightweight, SPF 50 PA++++, Non-Comedogenic, Hypoallergenic, Dermatologically Tested;c_makeover_ht.jpeg
BNB Bloomatte Perfect Zoom Cover Cushion;BARENBLISS;Cushion;All Skin Types, Acne-Prone;Matte;16H Long Lasting, High Coverage, Lightweight, SPF 50+ PA+++, Skin Nourishing, Antioxidant;c_bnb.jpeg
Oh My Glam Coverlast Liquid Foundation;OMG ;Foundation;All Skin Types;Natural;Flawless Coverage, 12H Long Lasting;f_omg.jpeg
Maybelline Superstay Lumi Matte Liquid Foundation ;MAYBELLINE;Foundation;All Skin Types;Matte;30H Long Wear, SPF 16, Buildable Coverage, Lightweight, Transferproof;f_maybelline.jpeg
Fit Me Matte + Poreless Liquid Foundation ;MAYBELLINE;Foundation;Normal, Oily;Matte;12H, Shine Control, Non-Comedogenic;f_fitme.jpeg
WARDAH Lightening Liquid Foundation ;WARDAH;Foundation;All Skin Types;Matte;Skin-Like to High Coverage, Airy-Coated Particles, Advance Niacinamide, SPF 40 PA+++, Blue Light Protection;f_wardah.jpeg
MAKE OVER Powerstay 24H Weightless Liquid Foundation;MAKE OVER;Foundation;All Skin Types;Matte;24H Long Lasting, Medium Buildable Coverage, Weightless, Non-Oxidizing, Breathable, Waterproof, Mask-Proof, SPF 30 PA+++, Non-Comedogenic, Non-Acnegenic, Dermatologically Tested;f_makeover.jpeg
L’Oreal Paris Infallible 32 Hr Matte Cover Liquid Foundation;L’Oreal Paris;Foundation;Oily;Matte;32H Long Lasting, High Coverage, 32H Oil-Control, 32H Shine-Control, Transferproof, Waterproof, Sweatproof, Lightweight, SPF 25, 4% Niacinamide;f_loreal.jpeg
Dazzle Me Cover Me Serum Foundation ;Dazzle Me;Foundation;All Skin Types;Matte;24H Long Lasting, Breathable Coverage, Oil Control, Hydrating, SPF 35 PA+++, Niacinamide-Zinc PCA, 5X Cera-Cactus;f_dazzle.jpeg
GLAD2GLOW FLAWLESS BLURRING SKIN TINT ;GLAD2GLOW ;Skin Tint;All Skin Types;Matte;Buildable Medium Coverage, Pore-Blurring, Lightweight, 12H Long Lasting, 12H Oil Control, Squalane;st_g2g.jpeg
ESQA Minimalist Blurring Serum Skin Tint ;ESQA;Skin Tint;All Skin Types;Natural;Medium Buildable Coverage, 24H Long Lasting, Blurring, Hydrating, Lightweight, Oil Control, SPF 35 PA++, 5X Active Complex, Non-Comedogenic, Dermatologically Tested;st_esqa.jpeg
SKINTIFlC Perfect Coverage Blurring Skin Tint ;SKINTIFlC;Skin Tint;All Skin Types;Natural;Perfect Buildable Coverage, Lightweight, Pore-Blurring, 10H Long Lasting, Hydrating, Squalane, Panthenol;st_skintific.jpeg
Wardah Skin Tint Pink Colorfit Supercharged Serum Tint ;WARDAH;Skin Tint;All Skin Types;Natural;Medium Buildable Coverage, 16H Long Lasting, Lightweight, Oil Control, Hydrating, SPF 40 PA+++, CICA, Pentavitin, Sweat-Safe, Humid-Proof, Non-Comedogenic, Non-Acnegenic;st_wardah.jpeg
Luxcrime Perfecting Hydralight Skin Tint ;LUXCRIME;Skin Tint;All Skin Types;Glow;Buildable Coverage, Lightweight, Hydrating, Blurring, Long Lasting, SPF 35 PA+++;st_luxcrime.jpeg
SOMETHINC Copy Paste Tinted Sunscreen;SOMETHINC;Skin Tint;All Skin Types, Acne-Prone;Glow;SPF 40 PA++++, Medium Buildable Coverage, 12H Long Lasting, Ultra-Lightweight, Breathable, Hydrating, Non-Comedogenic;st_somethinc.jpeg
Sea Makeup Soft Focus Skintint Perfec,r ;SEA MAKEUP;Skin Tint;All Skin Types;Matte;Lightweight, Soft-Focus, Pore-Blurring, Fine-Line Blurring, Buildable Coverage;st_seamakeup.jpeg
