nama_produk;brand;sub_kategori;jenis_kulit;finish_type;benefit;gambar
Glad2Glow Perfect Cover Cushion ;GLAD2GLOW;Cushion;All Skin Type ;Matte;Full Coverage, Waterproof, Transferproof, Shine-Control;c_g2g.jpeg
Glad2Glow Perfect Cover Glow Cushion ;GLAD2GLOW;Cushion;All Skin Type;Glow;Instant Pore-Blurring, 10H Long Lasting, Skin-Barrier Friendly;c_g2g_glow.jpeg
Sea Makeup Fix and Flawless Silk Cushion;SEA MAKEUP;Cushion;All Skin Type;Matte;Acne Care (Salicylic Acid), Oil Control, High Coverage;c_seamakeup.jpeg
OMG Coverlast Cushion;OMG;Cushion;Acne-Prone, Oily;Dewy;12H Long Lasting, Oil Control, SPF 15 PA++;c_omg.jpeg
Skintific Cover All Perfect Cushion;SKINTIFIC;Cushion;All Skin Type;Natural;5X Ceramide Hybrid Serum, 12H Long Lasting, SPF35 PA++++;c_skfc_all.jpeg
Skintific Perfect Stay Velvet Matte Cushion;SKINTIFIC;Cushion;All Skin Type;Matte;24H Fresh Flawless, Shine-Control, Pore-Blurring;c_skfc_velvet.jpeg
Skintific Cover Glow Perfect Cushion;SKINTIFIC;Cushion;Oily, Combination;Glow;5X Ceramide Serum, 12H Long Lasting, SPF 35 PA++++;c_skfc_glow.jpeg
Wardah Colorfit Perfect Glow Cushion;WARDAH;Cushion;Normal, Dry, Acne-Prone;Glow;SkinMatch Technology, 12H Long Lasting, SPF 33 PA+++;c_w_matte.jpeg
Wardah Colorfit 5D Blur Cloud Cushion;WARDAH;Cushion;Normal, Dry Skin;Matte;5D Pore-Blurring, 18H Long-Lasting, Au,-Fit;c_w_dewy.jpeg
Esqa Flawless Cushion Serum ;ESQA;Cushion;Normal, Oily;Natural;5-in-1 Premium Serum, Hydrating, SPF 50+ PA+++;c_esqa.jpeg
Make Over Hydrastay Prismatic Glass Cushion;MAKE OVER;Cushion;Dry, Acne-Prone;Dewy;Deep Hydrating, SPF 20 PA++, Hypoallergenic;c_makeover_ab.jpeg
Make Over Powerstay Sync Matte Cushion;MAKE OVER;Cushion;Dry, Normal Skin;Matte;24H Oil Control, Transferproof, Maskproof;c_makeover_ht.jpeg
BNB Bloomatte Perfect Zoom Cover Cushion;BARENBLISS;Cushion;Normal, Oily;Matte;16H Breathable Wear, Waterproof, Sweatproof;c_bnb.jpeg
Oh My Glam Coverlast Liquid Foundation;OMG ;Foundation;All Skin Type;Natural;12H Long Lasting, SPF 15 PA++, Oil Control;f_omg.jpeg
Maybelline Superstay Lumi Matte Liquid Foundation ;MAYBELLINE;Foundation;All Skin Type;Matte;30H Wear, Sweatproof, Transferproof, Weightless;f_maybelline.jpeg
Fit Me Matte + Poreless Liquid Foundation ;MAYBELLINE;Foundation;All Skin Type;Matte;Oil Control, Pore-Blurring, SPF 22;f_fitme.jpeg
WARDAH Lightening Liquid Foundation ;WARDAH;Foundation;Oily;Natural;Micronized Bright Pigment, SPF 30 PA+++, Airy Lightweight;f_wardah.jpeg
MAKE OVER Powerstay 24H Weightless Liquid Foundation;MAKE OVER;Foundation;All Skin Type;Matte;24H Long Lasting, Weightless, SPF 30 PA+++;f_makeover.jpeg
L’Oreal Paris Infallible 32 Hr Matte Cover Liquid Foundation;L’Oreal Paris;Foundation;Normal, Oily;Matte;32H Transferproof, Waterproof, Sweatproof;f_loreal.jpeg
Dazzle Me Cover Me Serum Foundation ;Dazzle Me;Foundation;All Skin Type;Natural, Matte;Breathable Coverage, 11H Oil-Control, SPF 25 PA+++;f_dazzle.jpeg
GLAD2GLOW FLAWLESS BLURRING SKIN TINT ;GLAD2GLOW ;Skin Tint;All Skin Type;Natural;Pore Blurring, Lightweight, SPF 35 PA+++;st_g2g.jpeg
ESQA Minimalist Blurring Serum Skin Tint ;ESQA;Skin Tint;All Skin Type;Natural;Peptide-Infused, Blurring Effect, SPF 35 PA++++;st_esqa.jpeg
SKINTIFlC Perfect Coverage Blurring Skin Tint ;SKINTIFlC;Skin Tint;All Skin Type;Natural;24H Stay, Blurring, SPF 35 PA++++;st_skintific.jpeg
Wardah Skin Tint Pink Colorfit Supercharged Serum Tint ;WARDAH;Skin Tint;All Skin Type;Natural;5X Skin Booster, SPF 35 PA+++, Hydrating;st_wardah.jpeg
Luxcrime Perfecting Hydralight Skin Tint ;LUXCRIME;Skin Tint;All Skin Type;Dewy;Hydrating Serum, SPF 35 PA+++, Anti-Pollutant;st_luxcrime.jpeg
SOMETHINC Copy Paste Tinted Sunscreen;SOMETHINC;Skin Tint;All Skin Type;Glow;SPF 40 PA++++, Ultra-Lightweight, Breathable Skin;st_somethinc.jpeg
Sea Makeup Soft Focus Skintint Perfec,r ;SEA MAKEUP;Skin Tint;All Skin Type;Matte;Salicylic Acid Treatment, Lightweight, ;st_seamakeup.jpeg
BNB barenbliss Bloomdew Inner Light Serum Tint;BARENBLISS;Skin Tint;Acne-Prone ;Dewy;24H Moisture Lock, Lightweight, SPF 35 PA+++;st_bnb.jpeg
Rose All Day The Realest Lightweight Skin Tint ;ROSE ALL DAY;Skin Tint;All Skin Type;Natural;Pore-Blurring, Anti-Pollutant, SPF 30 PA++;st_roseallday2.jpeg
YOU Cloud,uch 3% Niacinamide Acne Defense Skin Tint;YOU Beauty;Skin Tint;Oily, Acne-Prone ;Natural, Matte;Centella Asiatica Infused, Oil Control, Calming;st_you_a.jpeg
YOU Cloud,uch 3% Niacinamide Brightening Skin Tint;YOU Beauty;Skin Tint;All Skin Type;Natural, Matte;Brightening Serum Infused, Transferproof, 12H Oil Control;st_you_b.jpeg
GLAD2GLOW Perfect Blurring Powder ;GLAD2GLOW ;Powder;All Skin Type;Natural;Ultra-Fine Powder, Oil Control, Poreless Look;pw_g2g.jpeg
Sea Makeup Acne Blur and Set Loose Powder;SEA MAKEUP;Powder;Acne-Prone ;Matte;Micro Powder, Acne Care, Oil Control;pw_seamakeup.jpeg
Judydoll Two Way Cake;JUDYDOLL;Powder;Acne-Prone, Oily;Matte;Waterproof, Sweatproof, High Cover;pw_judydoll.jpeg
DAZZLE ME Better Than Filter Fixed Loose Powder ;DAZZLE ME;Powder;Acne-Prone, Oily;Matte;12H Oil-Control, Waterproof, Filter Effect;pw_dazzleme.jpeg
WARDAH TWC Colorfit Velvet Powder Foundation;WARDAH ;Powder;All Skin Type;Natural;12H Long Lasting, SkinMatch Technology, SPF 20 PA+++;pw_wardah.jpeg
WARDAH Loose Powder Lightening Matte Powder;WARDAH;Powder;All Skin Type;Matte;Oil Control, Brightening (Licorice Extract);pw_w_l.jpeg
OMG Oh My Glam Coverlast Two Way Cake;OMG;Powder;All Skin Type;Matte;12H Long Lasting, Oil Control, SPF 15 PA++;pw_omg.jpeg
